,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
1380,1380,December 25,Hey Girl,Donny Osmond,9,January 15,4,3FuTJl5G9V3zmGDhhd6r0M
1381,1381,January 1,Sunshine,Jonathan Edwards,4,January 15,6,3Xd39NB1rifow2RDNVgSFp
1382,1382,January 8,Let's Stay Together,Al Green,1,February 12,9,63xdwScd1Ai1GigAwQxE8y
1383,1383,January 8,I'd Like to Teach the World to Sing (in Perfect Harmony),The New Seekers,7,January 15,3,0hbC2CAJidLslKqJ39Lxh4
1384,1384,January 15,Clean Up Woman,Betty Wright,6,January 29,3,6uqTETWok9npbL4c9cuLVh
1385,1385,January 22,Day After Day,Badfinger,4,February 5,4,2XKW8CH8nRZH9cF2DNjBHN
1386,1386,January 22,You Are Everything,The Stylistics,9,January 22,2,07o54snAilKYHsW8bGFe9x
1387,1387,January 22,Sugar Daddy,The Jackson 5,10,January 22,2,762aUFJs0dBGkqnqlYOIsT
1388,1388,January 29,Never Been to Spain,Three Dog Night,5,February 12,4,61OQuSzsom6geFCA18JwO6
1389,1389,February 5,Without You,Nilsson,1,February 19,9,6MrILERJLA3Jcq0E9poZsp
1390,1390,February 5,Hurting Each Other,The Carpenters,2,February 26,6,0tLmrmwrUEDOhIlJxNUwDt
1391,1391,February 5,Precious and Few,Climax,3,February 26,7,7uuM0HwvCG20e5ttu6ugmP
1392,1392,February 5,Joy,Apollo 100,6,February 26,4,5xwmLfRd5kLb6XohkIqNV2
1393,1393,February 12,Down by the Lazy River,The Osmonds,4,March 4,6,49ZAeWd40u4py51DpjEY8p
1394,1394,February 19,The Lion Sleeps Tonight,Robert John,3,March 11,8,79fwgYi0nxAn2Zda7sHlmC
1395,1395,February 19,Everything I Own,Bread,5,March 4,6,52VIdyKqp1pJRSyUQaxKUA
1396,1396,February 26,Sweet Seasons,Carole King,9,March 4,2,2CQhvHR4xM8uyAKwZYCaJx
1397,1397,March 4,Heart of Gold,Neil Young,1,March 18,8,1mH7MvtshIFTz2eEv8AZ16
1398,1398,March 4,Bang a Gong (Get It On),T. Rex,10,March 4,2,6FsQrRpBLgsrFeAeiQqytm
1399,1399,March 11,A Horse with No Name,America,1,March 25,10,54eZmuggBFJbV7k248bTTt
1400,1400,March 11,The Way of Love,Cher,7,March 25,3,1q1oeOO8LQJH0qWI549cqN
1401,1401,March 18,Puppy Love,Donny Osmond,3,April 1,5,7HWH4kGaHR3ZwKNFPT4dSW
1402,1402,March 18,Mother and Child Reunion,Paul Simon,4,April 1,4,5vZ1BKMSLgrxxPYGMR904n
1403,1403,March 25,I Gotcha,Joe Tex,2,May 6,10,3t5caUWBhKDgy1ypsxRcg4
1404,1404,March 25,Jungle Fever,The Chakachas,8,March 25,3,2QEhVc7hg5Z5yI8UPOSRk8
1405,1405,April 1,The First Time Ever I Saw Your Face,Roberta Flack,1,April 15,11,0SxFyA4FqmEQqZVuAlg8lf
1406,1406,April 1,Rockin' Robin,Michael Jackson,2,April 22,8,63gcHyuhAC8G2C0bVQUOJI
1407,1407,April 8,In the Rain,The Dramatics,5,April 22,4,4UItf0AQRicvJ34EqEcoAS
1408,1408,April 15,"Betcha by Golly, Wow",The Stylistics,3,May 6,6,0w6qnStMvC77oV25dTSiYg
1409,1409,April 15,Day Dreaming,Aretha Franklin,5,May 6,5,7L4G39PVgMfaeHRyi1ML7y
1410,1410,April 15,A Cowboy's Work Is Never Done,Sonny & Cher,8,April 29,3,3X1a60iOm7XAJ1ZT1w2TVq
